task,horizon,memory,decision_ambiguity,uniform_policy_loss,expected_policy_loss,predictive_entropy_bits,predictive_residual_bits
delayed_cue,2,1,0.5,0.5,0.5,0.0,0.0
delayed_cue,2,2,0.0,0.0,0.0,0.0,0.0
delayed_cue,3,1,0.5,0.5,0.5,0.0,0.0
delayed_cue,3,2,0.5,0.5,0.5,0.0,0.0
delayed_cue,3,3,0.0,0.0,0.0,0.0,0.0
delayed_cue,4,1,0.5,0.5,0.5,0.0,0.0
delayed_cue,4,2,0.5,0.5,0.5,0.0,0.0
delayed_cue,4,3,0.5,0.5,0.5,0.0,0.0
delayed_cue,4,4,0.0,0.0,0.0,0.0,0.0
delayed_cue,5,1,0.5,0.5,0.5,0.0,0.0
delayed_cue,5,2,0.5,0.5,0.5,0.0,0.0
delayed_cue,5,3,0.5,0.5,0.5,0.0,0.0
delayed_cue,5,4,0.5,0.5,0.5,0.0,0.0
delayed_cue,5,5,0.0,0.0,0.0,0.0,0.0
delayed_cue,6,1,0.5,0.5,0.5,0.0,0.0
delayed_cue,6,2,0.5,0.5,0.5,0.0,0.0
delayed_cue,6,3,0.5,0.5,0.5,0.0,0.0
delayed_cue,6,4,0.5,0.5,0.5,0.0,0.0
delayed_cue,6,5,0.5,0.5,0.5,0.0,0.0
delayed_cue,6,6,0.0,0.0,0.0,0.0,0.0
delayed_cue,8,1,0.5,0.5,0.5,0.0,0.0
delayed_cue,8,2,0.5,0.5,0.5,0.0,0.0
delayed_cue,8,3,0.5,0.5,0.5,0.0,0.0
delayed_cue,8,4,0.5,0.5,0.5,0.0,0.0
delayed_cue,8,5,0.5,0.5,0.5,0.0,0.0
delayed_cue,8,6,0.5,0.5,0.5,0.0,0.0
delayed_cue,8,7,0.5,0.5,0.5,0.0,0.0
delayed_cue,8,8,0.0,0.0,0.0,0.0,0.0
nuisance_memory,2,1,0.0,0.0,0.0,1.0,1.0
nuisance_memory,2,2,0.0,0.0,0.0,0.0,0.0
nuisance_memory,3,1,0.0,0.0,0.0,1.0,1.0
nuisance_memory,3,2,0.0,0.0,0.0,1.0,1.0
nuisance_memory,3,3,0.0,0.0,0.0,0.0,0.0
nuisance_memory,4,1,0.0,0.0,0.0,1.0,1.0
nuisance_memory,4,2,0.0,0.0,0.0,1.0,1.0
nuisance_memory,4,3,0.0,0.0,0.0,1.0,1.0
nuisance_memory,4,4,0.0,0.0,0.0,0.0,0.0
nuisance_memory,5,1,0.0,0.0,0.0,1.0,1.0
nuisance_memory,5,2,0.0,0.0,0.0,1.0,1.0
nuisance_memory,5,3,0.0,0.0,0.0,1.0,1.0
nuisance_memory,5,4,0.0,0.0,0.0,1.0,1.0
nuisance_memory,5,5,0.0,0.0,0.0,0.0,0.0
nuisance_memory,6,1,0.0,0.0,0.0,1.0,1.0
nuisance_memory,6,2,0.0,0.0,0.0,1.0,1.0
nuisance_memory,6,3,0.0,0.0,0.0,1.0,1.0
nuisance_memory,6,4,0.0,0.0,0.0,1.0,1.0
nuisance_memory,6,5,0.0,0.0,0.0,1.0,1.0
nuisance_memory,6,6,0.0,0.0,0.0,0.0,0.0
nuisance_memory,8,1,0.0,0.0,0.0,1.0,1.0
nuisance_memory,8,2,0.0,0.0,0.0,1.0,1.0
nuisance_memory,8,3,0.0,0.0,0.0,1.0,1.0
nuisance_memory,8,4,0.0,0.0,0.0,1.0,1.0
nuisance_memory,8,5,0.0,0.0,0.0,1.0,1.0
nuisance_memory,8,6,0.0,0.0,0.0,1.0,1.0
nuisance_memory,8,7,0.0,0.0,0.0,1.0,1.0
nuisance_memory,8,8,0.0,0.0,0.0,0.0,0.0
