cue_probability,reward_gap,tolerance,uniform_ambiguity,weighted_ambiguity,weighted_policy_loss,uniform_short_certifiable,weighted_short_certifiable
0.01,0.4,0.1,0.2,0.004,0.0040000000000000036,False,True
0.012286253559934778,0.4,0.1,0.2,0.0049145014239739115,0.004914501423973927,False,True
0.015095202653900994,0.4,0.1,0.2,0.006038081061560398,0.006038081061560396,False,True
0.018546348734442802,0.4,0.1,0.2,0.007418539493777122,0.007418539493777132,False,True
0.022786514316233974,0.4,0.1,0.2,0.00911460572649359,0.009114605726493585,False,True
0.02799608926363343,0.4,0.1,0.2,0.011198435705453372,0.011198435705453369,False,True
0.034396705137956805,0.4,0.1,0.2,0.013758682055182722,0.013758682055182714,False,True
0.04226066409512487,0.4,0.1,0.2,0.016904265638049948,0.016904265638049976,False,True
0.051922523468393586,0.4,0.1,0.2,0.020769009387357436,0.02076900938735743,False,True
0.06379332888043474,0.4,0.1,0.2,0.025517331552173894,0.025517331552173894,False,True
0.07837810140573315,0.4,0.1,0.2,0.03135124056229326,0.03135124056229327,False,True
0.09629732274171175,0.4,0.1,0.2,0.0385189290966847,0.038518929096684695,False,True
0.11831333243475442,0.4,0.1,0.2,0.04732533297390177,0.04732533297390179,False,True
0.14536276018142485,0.4,0.1,0.2,0.058145104072569946,0.05814510407256995,False,True
0.17859637297609765,0.4,0.1,0.2,0.07143854919043906,0.07143854919043907,False,True
0.2194280323269018,0.4,0.1,0.2,0.08777121293076073,0.08777121293076073,False,True
0.2695948443325881,0.4,0.1,0.2,0.10783793773303525,0.10783793773303524,False,False
0.3312310615921323,0.4,0.1,0.2,0.13249242463685293,0.1324924246368529,False,False
0.40695888096473093,0.4,0.1,0.2,0.16278355238589237,0.16278355238589237,False,False
0.5,0.4,0.1,0.2,0.2,0.2,False,False
