cue_probability,n_episodes,seed,selected_memory,certificate,certified,short_memory_certified,true_expected_loss,certificate_valid,uniform_selected_memory,uniform_certified,uniform_short_certified,q_interval_coverage,occupancy_interval_coverage
0.05,1000,0,1,0.09351791938122783,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,1,1,0.09931211745870665,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,2,1,0.0785918100683503,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,3,4,0.06402941725333457,True,False,0.0,True,4,False,False,True,True
0.05,1000,4,1,0.0626530428300887,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,5,1,0.08755443021437383,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,6,1,0.07449871567481654,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,7,4,0.06765510168210555,True,False,0.0,True,4,False,False,True,True
0.05,1000,8,1,0.07994892772742758,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,9,1,0.09136483515161488,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,10,1,0.08924835119439055,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,11,1,0.098037939645293,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,12,1,0.07790185900341216,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,13,1,0.0700480124659483,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,1000,14,1,0.0792335129547353,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,2500,0,1,0.05780408826850031,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,2500,1,1,0.060923119723804695,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,2500,2,1,0.04328154441529898,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,2500,3,1,0.038961686749893476,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,2500,4,1,0.05577885890395498,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,2500,5,1,0.04619464668540968,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,2500,6,1,0.047545371885255816,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,2500,7,1,0.05049191092313406,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,2500,8,1,0.04382970214559529,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,2500,9,1,0.06124797885363725,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,2500,10,1,0.07145143087212484,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,2500,11,1,0.0429392515523803,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,2500,12,1,0.048018680626908304,True,True,0.020000000000000018,True,4,False,False,True,True
0.05,2500,13,1,0.053504007194490305,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,2500,14,1,0.0597394469529968,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,0,1,0.03890907810357188,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,1,1,0.04332733933234838,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,2,1,0.0343108926958155,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,3,1,0.04246821761590319,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,4,1,0.037973828115978076,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,5,1,0.04819701409114054,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,6,1,0.04954823928558926,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,7,1,0.039199584392374566,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,8,1,0.042088026953907016,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,9,1,0.045694398348117615,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,10,1,0.046217369840789335,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,11,1,0.04720691566875154,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,12,1,0.04544709864495131,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,13,1,0.041394264830835484,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,5000,14,1,0.04135275008134977,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,0,1,0.03442957578694107,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,1,1,0.038976130395074235,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,2,1,0.037327758422866106,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,3,1,0.035047131620807324,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,4,1,0.036206195455596515,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,5,1,0.03663381858146404,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,6,1,0.030661355845267337,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,7,1,0.03301126023601626,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,8,1,0.036207198974205906,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,9,1,0.036761241751226734,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,10,1,0.036043851701039006,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,11,1,0.034007613012180485,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,12,1,0.0333703150022212,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,13,1,0.03541174197152054,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,10000,14,1,0.03492000044175111,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,0,1,0.030948612966744192,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,1,1,0.029914523685918258,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,2,1,0.028613386317280415,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,3,1,0.028285431949097033,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,4,1,0.031222555682604177,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,5,1,0.027699909530878416,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,6,1,0.030203766047788703,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,7,1,0.02845312299496624,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,8,1,0.030442924902142933,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,9,1,0.027981139503193492,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,10,1,0.028359765597892883,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,11,1,0.02817484370448691,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,12,1,0.030738670101924503,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,13,1,0.028017028293382984,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,25000,14,1,0.03164722860295803,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,0,1,0.026741382609154284,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,1,1,0.02480273621678319,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,2,1,0.026946395857941053,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,3,1,0.027208664691421667,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,4,1,0.02834726810064835,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,5,1,0.02662162848667834,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,6,1,0.026173842830861063,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,7,1,0.02751871439671834,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,8,1,0.026091789661419444,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,9,1,0.025297069107377248,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,10,1,0.02568469739689761,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,11,1,0.02583627101984777,True,True,0.020000000000000018,True,4,True,False,True,True
0.05,50000,12,1,0.028745416434801784,True,True,0.020000000000000018,True,4,True,False,True,True
