cue_probability,n_episodes,seed,delta,tolerance,reward_gap,selected_memory,certificate,certified,correct_memory_certified,false_short_certification,true_uniform_loss,certificate_valid,q_interval_coverage,rare_final_min_count
0.5,50,0,0.05,0.1,0.5,4,0.5277551408113712,False,False,False,0.0,True,True,12
0.5,50,1,0.05,0.1,0.5,4,0.5664485041477891,False,False,False,0.0,True,True,9
0.5,50,2,0.05,0.1,0.5,4,0.5890978806199143,False,False,False,0.0,True,True,8
0.5,50,3,0.05,0.1,0.5,4,0.5512222669860765,False,False,False,0.0,True,True,7
0.5,50,4,0.05,0.1,0.5,4,0.46456685886259763,False,False,False,0.0,True,True,9
0.5,50,5,0.05,0.1,0.5,4,0.5667331080448674,False,False,False,0.0,True,True,12
0.5,50,6,0.05,0.1,0.5,4,0.507050738155612,False,False,False,0.0,True,True,13
0.5,50,7,0.05,0.1,0.5,4,0.690993680334339,False,False,False,0.0,True,True,7
0.5,50,8,0.05,0.1,0.5,4,0.42387596518772447,False,False,False,0.0,True,True,10
0.5,50,9,0.05,0.1,0.5,4,0.690993680334339,False,False,False,0.0,True,True,7
0.5,50,10,0.05,0.1,0.5,4,0.5512222669860765,False,False,False,0.0,True,True,13
0.5,50,11,0.05,0.1,0.5,4,0.507050738155612,False,False,False,0.0,True,True,13
0.5,50,12,0.05,0.1,0.5,4,0.5277551408113712,False,False,False,0.0,True,True,12
0.5,50,13,0.05,0.1,0.5,4,0.5512222669860765,False,False,False,0.0,True,True,11
0.5,50,14,0.05,0.1,0.5,4,0.6093991452273081,False,False,False,0.0,True,True,11
0.5,50,15,0.05,0.1,0.5,4,0.4886063171214607,False,False,False,0.0,True,True,10
0.5,50,16,0.05,0.1,0.5,4,0.5427308041185457,False,False,False,0.0,True,True,17
0.5,50,17,0.05,0.1,0.5,4,0.6093991452273081,False,False,False,0.0,True,True,9
0.5,50,18,0.05,0.1,0.5,4,0.690993680334339,False,False,False,0.0,True,True,7
0.5,50,19,0.05,0.1,0.5,4,0.4514725456336498,False,False,False,0.0,True,True,8
0.5,50,20,0.05,0.1,0.5,4,0.49634434050544474,False,False,False,0.0,True,True,11
0.5,50,21,0.05,0.1,0.5,4,0.5208592694840481,False,False,False,0.0,True,True,13
0.5,50,22,0.05,0.1,0.5,4,0.5667331080448674,False,False,False,0.0,True,True,11
0.5,50,23,0.05,0.1,0.5,4,0.5512222669860765,False,False,False,0.0,True,True,13
0.5,50,24,0.05,0.1,0.5,4,0.507050738155612,False,False,False,0.0,True,True,11
0.5,50,25,0.05,0.1,0.5,4,0.507050738155612,False,False,False,0.0,True,True,12
0.5,50,26,0.05,0.1,0.5,4,0.690993680334339,False,False,False,0.0,True,True,7
0.5,50,27,0.05,0.1,0.5,4,0.6093991452273081,False,False,False,0.0,True,True,9
