action_gap,cue_probability,n_episodes,information_scale,recovery_rate,false_short_rate
0.2,0.05,100,0.20000000000000004,0.0,0.0
0.2,0.05,200,0.4000000000000001,0.0,0.0
0.2,0.05,500,1.0000000000000002,0.0,0.0
0.2,0.05,1000,2.0000000000000004,0.0,0.0
0.2,0.05,2000,4.000000000000001,0.0,0.0
0.2,0.05,5000,10.000000000000002,0.1,0.0
0.2,0.05,10000,20.000000000000004,0.7666666666666667,0.0
0.2,0.05,20000,40.00000000000001,1.0,0.0
0.2,0.1,100,0.4000000000000001,0.0,0.0
0.2,0.1,200,0.8000000000000002,0.0,0.0
0.2,0.1,500,2.0000000000000004,0.0,0.0
0.2,0.1,1000,4.000000000000001,0.0,0.0
0.2,0.1,2000,8.000000000000002,0.2,0.0
0.2,0.1,5000,20.000000000000004,0.9333333333333333,0.0
0.2,0.1,10000,40.00000000000001,1.0,0.0
0.2,0.1,20000,80.00000000000001,1.0,0.0
0.2,0.2,100,0.8000000000000002,0.0,0.0
0.2,0.2,200,1.6000000000000003,0.0,0.0
0.2,0.2,500,4.000000000000001,0.0,0.0
0.2,0.2,1000,8.000000000000002,0.03333333333333333,0.0
0.2,0.2,2000,16.000000000000004,0.5,0.0
0.2,0.2,5000,40.00000000000001,1.0,0.0
0.2,0.2,10000,80.00000000000001,1.0,0.0
0.2,0.2,20000,160.00000000000003,1.0,0.0
0.2,0.5,100,2.0000000000000004,0.0,0.0
0.2,0.5,200,4.000000000000001,0.0,0.0
0.2,0.5,500,10.000000000000002,0.03333333333333333,0.0
0.2,0.5,1000,20.000000000000004,0.5666666666666667,0.0
0.2,0.5,2000,40.00000000000001,1.0,0.0
0.2,0.5,5000,100.00000000000001,1.0,0.0
0.2,0.5,10000,200.00000000000003,1.0,0.0
0.2,0.5,20000,400.00000000000006,1.0,0.0
0.3,0.05,100,0.44999999999999996,0.0,0.0
0.3,0.05,200,0.8999999999999999,0.0,0.0
0.3,0.05,500,2.25,0.0,0.0
0.3,0.05,1000,4.5,0.03333333333333333,0.0
0.3,0.05,2000,9.0,0.13333333333333333,0.0
0.3,0.05,5000,22.5,0.7,0.0
0.3,0.05,10000,45.0,1.0,0.0
0.3,0.05,20000,90.0,1.0,0.0
0.3,0.1,100,0.8999999999999999,0.0,0.0
0.3,0.1,200,1.7999999999999998,0.0,0.0
0.3,0.1,500,4.5,0.0,0.0
0.3,0.1,1000,9.0,0.13333333333333333,0.0
0.3,0.1,2000,18.0,0.7,0.0
0.3,0.1,5000,45.0,1.0,0.0
0.3,0.1,10000,90.0,1.0,0.0
0.3,0.1,20000,180.0,1.0,0.0
0.3,0.2,100,1.7999999999999998,0.0,0.0
0.3,0.2,200,3.5999999999999996,0.0,0.0
0.3,0.2,500,9.0,0.1,0.0
0.3,0.2,1000,18.0,0.6,0.0
0.3,0.2,2000,36.0,1.0,0.0
0.3,0.2,5000,90.0,1.0,0.0
0.3,0.2,10000,180.0,1.0,0.0
0.3,0.2,20000,360.0,1.0,0.0
0.3,0.5,100,4.5,0.0,0.0
0.3,0.5,200,9.0,0.0,0.0
0.3,0.5,500,22.5,0.7666666666666667,0.0
0.3,0.5,1000,45.0,1.0,0.0
0.3,0.5,2000,90.0,1.0,0.0
0.3,0.5,5000,225.0,1.0,0.0
0.3,0.5,10000,450.0,1.0,0.0
0.3,0.5,20000,900.0,1.0,0.0
0.5,0.05,100,1.25,0.0,0.0
0.5,0.05,200,2.5,0.0,0.0
0.5,0.05,500,6.25,0.0,0.0
0.5,0.05,1000,12.5,0.1,0.0
0.5,0.05,2000,25.0,0.8666666666666667,0.0
0.5,0.05,5000,62.5,1.0,0.0
0.5,0.05,10000,125.0,1.0,0.0
0.5,0.05,20000,250.0,1.0,0.0
0.5,0.1,100,2.5,0.0,0.0
0.5,0.1,200,5.0,0.0,0.0
0.5,0.1,500,12.5,0.4,0.0
0.5,0.1,1000,25.0,0.9666666666666667,0.0
0.5,0.1,2000,50.0,1.0,0.0
0.5,0.1,5000,125.0,1.0,0.0
0.5,0.1,10000,250.0,1.0,0.0
0.5,0.1,20000,500.0,1.0,0.0
0.5,0.2,100,5.0,0.0,0.0
0.5,0.2,200,10.0,0.2,0.0
0.5,0.2,500,25.0,0.9333333333333333,0.0
0.5,0.2,1000,50.0,1.0,0.0
0.5,0.2,2000,100.0,1.0,0.0
0.5,0.2,5000,250.0,1.0,0.0
0.5,0.2,10000,500.0,1.0,0.0
0.5,0.2,20000,1000.0,1.0,0.0
0.5,0.5,100,12.5,0.1,0.0
0.5,0.5,200,25.0,0.9333333333333333,0.0
0.5,0.5,500,62.5,1.0,0.0
0.5,0.5,1000,125.0,1.0,0.0
0.5,0.5,2000,250.0,1.0,0.0
0.5,0.5,5000,625.0,1.0,0.0
0.5,0.5,10000,1250.0,1.0,0.0
0.5,0.5,20000,2500.0,1.0,0.0
