horizon,reward_gap,tolerance,selected_memory,short_memory_ambiguity
5,0.02,0.025,1,0.01
5,0.02,0.05,1,0.01
5,0.02,0.1,1,0.01
5,0.02,0.2,1,0.01
5,0.04,0.025,1,0.02
5,0.04,0.05,1,0.02
5,0.04,0.1,1,0.02
5,0.04,0.2,1,0.02
5,0.06,0.025,5,0.03
5,0.06,0.05,1,0.03
5,0.06,0.1,1,0.03
5,0.06,0.2,1,0.03
5,0.08,0.025,5,0.04
5,0.08,0.05,1,0.04
5,0.08,0.1,1,0.04
5,0.08,0.2,1,0.04
5,0.1,0.025,5,0.05
5,0.1,0.05,1,0.05
5,0.1,0.1,1,0.05
5,0.1,0.2,1,0.05
5,0.12000000000000001,0.025,5,0.060000000000000005
5,0.12000000000000001,0.05,5,0.060000000000000005
5,0.12000000000000001,0.1,1,0.060000000000000005
5,0.12000000000000001,0.2,1,0.060000000000000005
5,0.13999999999999999,0.025,5,0.06999999999999999
5,0.13999999999999999,0.05,5,0.06999999999999999
5,0.13999999999999999,0.1,1,0.06999999999999999
5,0.13999999999999999,0.2,1,0.06999999999999999
5,0.16,0.025,5,0.08
5,0.16,0.05,5,0.08
5,0.16,0.1,1,0.08
5,0.16,0.2,1,0.08
5,0.18,0.025,5,0.09
5,0.18,0.05,5,0.09
5,0.18,0.1,1,0.09
5,0.18,0.2,1,0.09
5,0.19999999999999998,0.025,5,0.09999999999999999
5,0.19999999999999998,0.05,5,0.09999999999999999
5,0.19999999999999998,0.1,1,0.09999999999999999
5,0.19999999999999998,0.2,1,0.09999999999999999
5,0.22,0.025,5,0.11
5,0.22,0.05,5,0.11
5,0.22,0.1,5,0.11
5,0.22,0.2,1,0.11
5,0.24,0.025,5,0.12
5,0.24,0.05,5,0.12
5,0.24,0.1,5,0.12
5,0.24,0.2,1,0.12
5,0.26,0.025,5,0.13
5,0.26,0.05,5,0.13
5,0.26,0.1,5,0.13
5,0.26,0.2,1,0.13
5,0.28,0.025,5,0.14
5,0.28,0.05,5,0.14
5,0.28,0.1,5,0.14
5,0.28,0.2,1,0.14
5,0.30000000000000004,0.025,5,0.15000000000000002
5,0.30000000000000004,0.05,5,0.15000000000000002
5,0.30000000000000004,0.1,5,0.15000000000000002
