horizon,reward_gap,tolerance,selected_memory,short_memory_ambiguity
5,0.30000000000000004,0.2,1,0.15000000000000002
5,0.32,0.025,5,0.16
5,0.32,0.05,5,0.16
5,0.32,0.1,5,0.16
5,0.32,0.2,1,0.16
5,0.34,0.025,5,0.17
5,0.34,0.05,5,0.17
5,0.34,0.1,5,0.17
5,0.34,0.2,1,0.17
5,0.36000000000000004,0.025,5,0.18000000000000002
5,0.36000000000000004,0.05,5,0.18000000000000002
5,0.36000000000000004,0.1,5,0.18000000000000002
5,0.36000000000000004,0.2,1,0.18000000000000002
5,0.38,0.025,5,0.19
5,0.38,0.05,5,0.19
5,0.38,0.1,5,0.19
5,0.38,0.2,1,0.19
5,0.4,0.025,5,0.2
5,0.4,0.05,5,0.2
5,0.4,0.1,5,0.2
5,0.4,0.2,1,0.2
5,0.42000000000000004,0.025,5,0.21000000000000002
5,0.42000000000000004,0.05,5,0.21000000000000002
5,0.42000000000000004,0.1,5,0.21000000000000002
5,0.42000000000000004,0.2,5,0.21000000000000002
5,0.44,0.025,5,0.22
5,0.44,0.05,5,0.22
5,0.44,0.1,5,0.22
5,0.44,0.2,5,0.22
5,0.46,0.025,5,0.23
5,0.46,0.05,5,0.23
5,0.46,0.1,5,0.23
5,0.46,0.2,5,0.23
5,0.48000000000000004,0.025,5,0.24000000000000002
5,0.48000000000000004,0.05,5,0.24000000000000002
5,0.48000000000000004,0.1,5,0.24000000000000002
5,0.48000000000000004,0.2,5,0.24000000000000002
5,0.5,0.025,5,0.25
5,0.5,0.05,5,0.25
5,0.5,0.1,5,0.25
5,0.5,0.2,5,0.25
5,0.52,0.025,5,0.26
5,0.52,0.05,5,0.26
5,0.52,0.1,5,0.26
5,0.52,0.2,5,0.26
5,0.54,0.025,5,0.27
5,0.54,0.05,5,0.27
5,0.54,0.1,5,0.27
5,0.54,0.2,5,0.27
5,0.56,0.025,5,0.28
5,0.56,0.05,5,0.28
5,0.56,0.1,5,0.28
5,0.56,0.2,5,0.28
5,0.5800000000000001,0.025,5,0.29000000000000004
5,0.5800000000000001,0.05,5,0.29000000000000004
5,0.5800000000000001,0.1,5,0.29000000000000004
5,0.5800000000000001,0.2,5,0.29000000000000004
5,0.6,0.025,5,0.3
5,0.6,0.05,5,0.3
5,0.6,0.1,5,0.3
5,0.6,0.2,5,0.3
5,0.62,0.025,5,0.31
5,0.62,0.05,5,0.31
5,0.62,0.1,5,0.31
5,0.62,0.2,5,0.31
5,0.64,0.025,5,0.32
5,0.64,0.05,5,0.32
5,0.64,0.1,5,0.32
5,0.64,0.2,5,0.32
5,0.66,0.025,5,0.33
5,0.66,0.05,5,0.33
5,0.66,0.1,5,0.33
5,0.66,0.2,5,0.33
5,0.68,0.025,5,0.34
5,0.68,0.05,5,0.34
5,0.68,0.1,5,0.34
5,0.68,0.2,5,0.34
5,0.7000000000000001,0.025,5,0.35000000000000003
5,0.7000000000000001,0.05,5,0.35000000000000003
5,0.7000000000000001,0.1,5,0.35000000000000003
5,0.7000000000000001,0.2,5,0.35000000000000003
5,0.7200000000000001,0.025,5,0.36000000000000004
5,0.7200000000000001,0.05,5,0.36000000000000004
5,0.7200000000000001,0.1,5,0.36000000000000004
5,0.7200000000000001,0.2,5,0.36000000000000004
5,0.74,0.025,5,0.37
5,0.74,0.05,5,0.37
5,0.74,0.1,5,0.37
5,0.74,0.2,5,0.37
5,0.76,0.025,5,0.38
5,0.76,0.05,5,0.38
5,0.76,0.1,5,0.38
5,0.76,0.2,5,0.38
5,0.78,0.025,5,0.39
5,0.78,0.05,5,0.39
5,0.78,0.1,5,0.39
5,0.78,0.2,5,0.39
5,0.8,0.025,5,0.4
5,0.8,0.05,5,0.4
5,0.8,0.1,5,0.4
5,0.8,0.2,5,0.4
5,0.8200000000000001,0.025,5,0.41000000000000003
5,0.8200000000000001,0.05,5,0.41000000000000003
5,0.8200000000000001,0.1,5,0.41000000000000003
5,0.8200000000000001,0.2,5,0.41000000000000003
5,0.8400000000000001,0.025,5,0.42000000000000004
5,0.8400000000000001,0.05,5,0.42000000000000004
5,0.8400000000000001,0.1,5,0.42000000000000004
5,0.8400000000000001,0.2,5,0.42000000000000004
5,0.86,0.025,5,0.43
5,0.86,0.05,5,0.43
5,0.86,0.1,5,0.43
5,0.86,0.2,5,0.43
5,0.88,0.025,5,0.44
5,0.88,0.05,5,0.44
5,0.88,0.1,5,0.44
5,0.88,0.2,5,0.44
5,0.9,0.025,5,0.45
5,0.9,0.05,5,0.45
5,0.9,0.1,5,0.45
5,0.9,0.2,5,0.45
5,0.92,0.025,5,0.46
5,0.92,0.05,5,0.46
5,0.92,0.1,5,0.46
5,0.92,0.2,5,0.46
5,0.9400000000000001,0.025,5,0.47000000000000003
5,0.9400000000000001,0.05,5,0.47000000000000003
5,0.9400000000000001,0.1,5,0.47000000000000003
5,0.9400000000000001,0.2,5,0.47000000000000003
5,0.9600000000000001,0.025,5,0.48000000000000004
5,0.9600000000000001,0.05,5,0.48000000000000004
5,0.9600000000000001,0.1,5,0.48000000000000004
5,0.9600000000000001,0.2,5,0.48000000000000004
5,0.98,0.025,5,0.49
5,0.98,0.05,5,0.49
5,0.98,0.1,5,0.49
5,0.98,0.2,5,0.49
5,1.0,0.025,5,0.5
5,1.0,0.05,5,0.5
5,1.0,0.1,5,0.5
5,1.0,0.2,5,0.5
