cue_probability,n_episodes,weighted_certification_rate,weighted_short_rate,uniform_short_rate,certificate_valid_rate,q_coverage_rate,occupancy_coverage_rate,median_certificate,mean_true_expected_loss
0.05,1000,1.0,0.8666666666666667,0.0,1.0,1.0,1.0,0.0792335129547353,0.01733333333333335
0.05,2500,1.0,1.0,0.0,1.0,1.0,1.0,0.05049191092313406,0.020000000000000018
0.05,5000,1.0,1.0,0.0,1.0,1.0,1.0,0.04246821761590319,0.020000000000000018
0.05,10000,1.0,1.0,0.0,1.0,1.0,1.0,0.03541174197152054,0.020000000000000018
0.05,25000,1.0,1.0,0.0,1.0,1.0,1.0,0.028613386317280415,0.020000000000000018
0.05,50000,1.0,1.0,0.0,1.0,1.0,1.0,0.02662162848667834,0.020000000000000018
0.1,1000,1.0,0.4,0.0,1.0,1.0,1.0,0.05440742244354191,0.015999999999999993
0.1,2500,1.0,1.0,0.0,1.0,1.0,1.0,0.08051549401807014,0.03999999999999997
0.1,5000,1.0,1.0,0.0,1.0,1.0,1.0,0.06757652699307783,0.03999999999999997
0.1,10000,1.0,1.0,0.0,1.0,1.0,1.0,0.058140730560565575,0.03999999999999997
0.1,25000,1.0,1.0,0.0,1.0,1.0,1.0,0.05203133026625676,0.03999999999999997
0.1,50000,1.0,1.0,0.0,1.0,1.0,1.0,0.04711071114004434,0.03999999999999997
0.2,1000,1.0,0.0,0.0,1.0,1.0,1.0,0.03455326992284658,0.0
0.2,2500,1.0,0.0,0.0,1.0,1.0,1.0,0.018169928356633294,0.0
0.2,5000,1.0,0.0,0.0,1.0,1.0,1.0,0.012534148707698622,0.0
0.2,10000,1.0,0.4,0.0,1.0,1.0,1.0,0.008557242874269183,0.03200000000000001
0.2,25000,1.0,1.0,0.0,1.0,1.0,1.0,0.09203416783444328,0.08000000000000002
0.2,50000,1.0,1.0,0.0,1.0,1.0,1.0,0.08867900200888673,0.08000000000000002
0.5,1000,1.0,0.0,0.0,1.0,1.0,1.0,0.030369532066939157,0.0
0.5,2500,1.0,0.0,0.0,1.0,1.0,1.0,0.017557966030497366,0.0
0.5,5000,1.0,0.0,0.0,1.0,1.0,1.0,0.011790534234154371,0.0
0.5,10000,1.0,0.0,0.0,1.0,1.0,1.0,0.007938956280180922,0.0
0.5,25000,1.0,0.0,0.0,1.0,1.0,1.0,0.004835177541597779,0.0
0.5,50000,1.0,0.0,0.0,1.0,1.0,1.0,0.0033816638372058845,0.0
