action_gap,cue_probability,n_episodes,seed,tolerance,information_scale,correct_memory_certified,false_short_certification
0.2,0.05,100,0,0.05,0.20000000000000004,False,False
0.2,0.05,100,1,0.05,0.20000000000000004,False,False
0.2,0.05,100,2,0.05,0.20000000000000004,False,False
0.2,0.05,100,3,0.05,0.20000000000000004,False,False
0.2,0.05,100,4,0.05,0.20000000000000004,False,False
0.2,0.05,100,5,0.05,0.20000000000000004,False,False
0.2,0.05,100,6,0.05,0.20000000000000004,False,False
0.2,0.05,100,7,0.05,0.20000000000000004,False,False
0.2,0.05,100,8,0.05,0.20000000000000004,False,False
0.2,0.05,100,9,0.05,0.20000000000000004,False,False
0.2,0.05,100,10,0.05,0.20000000000000004,False,False
0.2,0.05,100,11,0.05,0.20000000000000004,False,False
0.2,0.05,100,12,0.05,0.20000000000000004,False,False
0.2,0.05,100,13,0.05,0.20000000000000004,False,False
0.2,0.05,100,14,0.05,0.20000000000000004,False,False
0.2,0.05,100,15,0.05,0.20000000000000004,False,False
0.2,0.05,100,16,0.05,0.20000000000000004,False,False
0.2,0.05,100,17,0.05,0.20000000000000004,False,False
0.2,0.05,100,18,0.05,0.20000000000000004,False,False
0.2,0.05,100,19,0.05,0.20000000000000004,False,False
0.2,0.05,100,20,0.05,0.20000000000000004,False,False
0.2,0.05,100,21,0.05,0.20000000000000004,False,False
0.2,0.05,100,22,0.05,0.20000000000000004,False,False
0.2,0.05,100,23,0.05,0.20000000000000004,False,False
0.2,0.05,100,24,0.05,0.20000000000000004,False,False
0.2,0.05,100,25,0.05,0.20000000000000004,False,False
0.2,0.05,100,26,0.05,0.20000000000000004,False,False
0.2,0.05,100,27,0.05,0.20000000000000004,False,False
0.2,0.05,100,28,0.05,0.20000000000000004,False,False
0.2,0.05,100,29,0.05,0.20000000000000004,False,False
0.2,0.05,200,0,0.05,0.4000000000000001,False,False
0.2,0.05,200,1,0.05,0.4000000000000001,False,False
0.2,0.05,200,2,0.05,0.4000000000000001,False,False
0.2,0.05,200,3,0.05,0.4000000000000001,False,False
0.2,0.05,200,4,0.05,0.4000000000000001,False,False
0.2,0.05,200,5,0.05,0.4000000000000001,False,False
0.2,0.05,200,6,0.05,0.4000000000000001,False,False
0.2,0.05,200,7,0.05,0.4000000000000001,False,False
0.2,0.05,200,8,0.05,0.4000000000000001,False,False
0.2,0.05,200,9,0.05,0.4000000000000001,False,False
0.2,0.05,200,10,0.05,0.4000000000000001,False,False
0.2,0.05,200,11,0.05,0.4000000000000001,False,False
0.2,0.05,200,12,0.05,0.4000000000000001,False,False
0.2,0.05,200,13,0.05,0.4000000000000001,False,False
0.2,0.05,200,14,0.05,0.4000000000000001,False,False
0.2,0.05,200,15,0.05,0.4000000000000001,False,False
0.2,0.05,200,16,0.05,0.4000000000000001,False,False
0.2,0.05,200,17,0.05,0.4000000000000001,False,False
0.2,0.05,200,18,0.05,0.4000000000000001,False,False
0.2,0.05,200,19,0.05,0.4000000000000001,False,False
0.2,0.05,200,20,0.05,0.4000000000000001,False,False
0.2,0.05,200,21,0.05,0.4000000000000001,False,False
0.2,0.05,200,22,0.05,0.4000000000000001,False,False
0.2,0.05,200,23,0.05,0.4000000000000001,False,False
0.2,0.05,200,24,0.05,0.4000000000000001,False,False
0.2,0.05,200,25,0.05,0.4000000000000001,False,False
0.2,0.05,200,26,0.05,0.4000000000000001,False,False
0.2,0.05,200,27,0.05,0.4000000000000001,False,False
0.2,0.05,200,28,0.05,0.4000000000000001,False,False
0.2,0.05,200,29,0.05,0.4000000000000001,False,False
0.2,0.05,500,0,0.05,1.0000000000000002,False,False
0.2,0.05,500,1,0.05,1.0000000000000002,False,False
0.2,0.05,500,2,0.05,1.0000000000000002,False,False
0.2,0.05,500,3,0.05,1.0000000000000002,False,False
0.2,0.05,500,4,0.05,1.0000000000000002,False,False
0.2,0.05,500,5,0.05,1.0000000000000002,False,False
0.2,0.05,500,6,0.05,1.0000000000000002,False,False
0.2,0.05,500,7,0.05,1.0000000000000002,False,False
0.2,0.05,500,8,0.05,1.0000000000000002,False,False
0.2,0.05,500,9,0.05,1.0000000000000002,False,False
0.2,0.05,500,10,0.05,1.0000000000000002,False,False
0.2,0.05,500,11,0.05,1.0000000000000002,False,False
0.2,0.05,500,12,0.05,1.0000000000000002,False,False
0.2,0.05,500,13,0.05,1.0000000000000002,False,False
0.2,0.05,500,14,0.05,1.0000000000000002,False,False
0.2,0.05,500,15,0.05,1.0000000000000002,False,False
0.2,0.05,500,16,0.05,1.0000000000000002,False,False
0.2,0.05,500,17,0.05,1.0000000000000002,False,False
0.2,0.05,500,18,0.05,1.0000000000000002,False,False
0.2,0.05,500,19,0.05,1.0000000000000002,False,False
0.2,0.05,500,20,0.05,1.0000000000000002,False,False
0.2,0.05,500,21,0.05,1.0000000000000002,False,False
0.2,0.05,500,22,0.05,1.0000000000000002,False,False
0.2,0.05,500,23,0.05,1.0000000000000002,False,False
0.2,0.05,500,24,0.05,1.0000000000000002,False,False
0.2,0.05,500,25,0.05,1.0000000000000002,False,False
0.2,0.05,500,26,0.05,1.0000000000000002,False,False
