horizon,instance,memory,uniform_ambiguity,uniform_loss,robust_ambiguity,robust_loss,robust_inflation,weighted_ambiguity,weighted_loss,weighted_certificate,robust_weighted_certificate,robust_weighted_loss,max_concentrability,relative_uniform_slack,weighted_to_uniform_ratio,theorem_violation,monotonicity_violation,sandwich_violation,robust_certificate_violation,inflation_violation,weighted_monotonicity_violation,weighted_certificate_violation,robust_weighted_certificate_violation
3,0,1,0.6333624869047287,0.4913198858475192,0.7412684710142639,0.48292515397359725,0.10790598410953511,0.12193031423128398,0.2555085876219667,0.4276343429412052,0.6431095532244865,0.2555085876219667,4.0,0.28910411556452326,0.6751810405303189,False,False,False,False,False,False,False,False
3,0,2,0.281349128598637,0.2813491285986369,0.33706890850093796,0.2862285543326005,0.05571977990230098,0.009352799938779483,0.008373063884463683,0.03741119975511793,0.0901162927658422,0.008373063884463683,4.0,1.9730344112935977e-16,0.1329707326319374,False,False,False,False,False,False,False,False
3,0,3,0.0,0.0,0.1023538912658954,0.0,0.1023538912658954,0.0,0.0,0.0,0.038846485824835644,0.0,4.0,,,False,False,False,False,False,False,False,False
3,1,1,0.584934184497155,0.42894789725663673,0.6967890106334302,0.44728991489724,0.11185482613627529,0.11227238909814949,0.0780744797917925,0.4064222368448281,0.5939881861822847,0.0780744797917925,4.0,0.3636485648679906,0.6948170368846085,False,False,False,False,False,False,False,False
3,1,2,0.26125814158559313,0.26125814158559313,0.36053868715385945,0.2688766074652933,0.09928054556826632,0.052153374352367214,0.03834911569834487,0.20861349740946886,0.33919153668475904,0.03834911569834487,4.0,0.0,0.7984956799561521,False,False,False,False,False,False,False,False
3,1,3,0.0,0.0,0.12097522589047727,0.0,0.12097522589047727,0.0,0.0,0.0,0.01972989794996264,0.0,4.0,,,False,False,False,False,False,False,False,False
3,2,1,0.4272303427863111,0.2841187701151716,0.5436366388557848,0.3028094913578643,0.11640629606947372,0.11370664604335126,0.017510241558557516,0.41028311291455816,0.6521584877511505,0.11225431126829877,4.0,0.503703337210446,0.9603323355704876,False,False,False,False,False,False,False,False
3,2,2,0.2642381833379325,0.2642381833379325,0.4005199732050193,0.2669658849947093,0.13628178986708683,0.021579070401937003,0.0066966893227733415,0.08631628160774801,0.21646905712064704,0.0066966893227733415,4.0,0.0,0.32666089555027966,False,False,False,False,False,False,False,False
3,2,3,0.0,0.0,0.1689696702700091,0.0,0.1689696702700091,0.0,0.0,0.0,0.0748620483380245,0.0,4.0,,,False,False,False,False,False,False,False,False
3,3,1,0.30971489443068856,0.23087544378516722,0.47189759693348543,0.27513837978994404,0.16218270250279687,0.0926827651620259,0.24163880865360898,0.35764549410848506,0.6168871680200598,0.24163880865360898,4.0,0.34148045090010753,1.1547571671226904,False,False,False,False,False,False,False,False
3,3,2,0.21408680848073516,0.2140868084807352,0.40269127684229555,0.21466095369375343,0.1886044683615604,0.03143081990941757,0.038953979860435695,0.12572327963767027,0.3171162326119975,0.038953979860435695,4.0,-1.2964636080380695e-16,0.5872537431421592,False,False,False,False,False,False,False,False
3,3,3,0.0,0.0,0.2351987307778125,0.0,0.2351987307778125,0.0,0.0,0.0,0.12608991840826975,0.0,4.0,,,False,False,False,False,False,False,False,False
3,4,1,0.5474087674847419,0.39457049395215105,0.7133394189611129,0.3909605215497063,0.16593065147637098,0.10578376570378781,0.14278561161344028,0.30883142578766704,0.5276182547387149,0.14278561161344028,4.0,0.387353529661357,0.5641696738009868,False,False,False,False,False,False,False,False
3,4,2,0.2897499263024146,0.28974992630241464,0.46493639213775173,0.2923864836025417,0.17518646583533715,0.02674029479934239,0.03217765464177402,0.10696117919736955,0.2215156017900717,0.03217765464177402,4.0,-1.9158296928545318e-16,0.3691499789571412,False,False,False,False,False,False,False,False
3,4,3,0.0,0.0,0.20592620849394988,0.0,0.20592620849394988,0.0,0.0,0.0,0.057816230760919754,0.0,4.0,,,False,False,False,False,False,False,False,False
3,5,1,0.5217741808275081,0.4501192383606114,0.6533727522648753,0.43567420781446486,0.1315985714373672,0.09655779399396029,0.04151030645010656,0.3666788233941657,0.6075465539440511,0.04151030645010656,4.0,0.1591910239781634,0.7027538672239994,False,False,False,False,False,False,False,False
3,5,2,0.3066000526375939,0.3066000526375938,0.4697684452857045,0.30823811809671764,0.16316839264811062,0.03769102264111706,0.05685826659226456,0.15076409056446824,0.291343943099708,0.05685826659226456,4.0,1.8105395205809992e-16,0.4917288476224555,False,False,False,False,False,False,False,False
3,5,3,0.0,0.0,0.17316075204723008,0.0,0.17316075204723008,0.0,0.0,0.0,0.10499960482084729,0.0,4.0,,,False,False,False,False,False,False,False,False
3,6,1,0.573994611256224,0.4615656291494341,0.6743183065559295,0.45663439896432423,0.10032369529970553,0.08879463748861262,0.0849350513008198,0.24423273916912938,0.41292556712179346,0.0849350513008198,4.0,0.24358178990487708,0.42549657153507137,False,False,False,False,False,False,False,False
3,6,2,0.24907590086768933,0.24907590086768938,0.3051958989937853,0.25783312314253115,0.05611999812609597,0.01225999658899701,0.016635578604695223,0.04903998635598804,0.15034766889032172,0.017136966752230975,4.0,-2.2286841496056933e-16,0.19688772051069842,False,False,False,False,False,False,False,False
3,6,3,0.0,0.0,0.10191036222490346,0.0,0.10191036222490346,0.0,0.0,0.0,0.08141479020012127,0.0,4.0,,,False,False,False,False,False,False,False,False
3,7,1,0.47942111302880974,0.3475017441113466,0.6406126447606216,0.34328805819498753,0.1611915317318119,0.055876685894460695,0.10063910444811497,0.22121477811593257,0.4200493233947152,0.10063910444811497,4.0,0.37962217788234615,0.4614206010210467,False,False,False,False,False,False,False,False
