cue_probability,n_episodes,certification_rate,correct_memory_rate,false_short_rate,certificate_valid_rate,q_coverage_rate,median_certificate,mean_true_loss,median_rare_count
0.05,50,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
0.05,100,0.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0
0.05,200,0.0,0.0,0.0,1.0,1.0,0.8175947484951165,0.02,3.0
0.05,500,0.0,0.0,0.0,1.0,1.0,0.48039163270543483,0.0,11.0
0.05,1000,0.04,0.04,0.0,1.0,1.0,0.22266656499351112,0.0,22.0
0.05,2000,0.86,0.86,0.0,1.0,1.0,0.0,0.0,47.5
0.05,5000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,121.0
0.05,10000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,241.0
0.1,50,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0
0.1,100,0.0,0.0,0.0,1.0,1.0,0.8175947484951165,0.01,4.0
0.1,200,0.0,0.0,0.0,1.0,1.0,0.5781267909234067,0.0,8.0
0.1,500,0.08,0.08,0.0,1.0,1.0,0.2637857375202691,0.0,21.5
0.1,1000,0.84,0.84,0.0,1.0,1.0,0.02802969724219835,0.0,44.0
0.1,2000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,96.0
0.1,5000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,242.0
0.1,10000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,484.5
0.2,50,0.0,0.0,0.0,1.0,1.0,0.7718355402254836,0.01,5.0
0.2,100,0.0,0.0,0.0,1.0,1.0,0.5781267909234067,0.0,8.0
0.2,200,0.02,0.02,0.0,1.0,1.0,0.3454325679513707,0.0,17.0
0.2,500,0.9,0.9,0.0,1.0,1.0,0.0,0.0,47.0
0.2,1000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,95.0
0.2,2000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,195.0
0.2,5000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,490.0
0.2,10000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,985.5
0.5,50,0.0,0.0,0.0,1.0,1.0,0.5277551408113712,0.0,11.0
0.5,100,0.0,0.0,0.0,1.0,1.0,0.30372496411062455,0.0,23.0
0.5,200,0.68,0.68,0.0,1.0,1.0,0.07458192577446668,0.0,46.0
0.5,500,1.0,1.0,0.0,1.0,1.0,0.0,0.0,119.0
0.5,1000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,242.0
0.5,2000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,489.0
0.5,5000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1233.5
0.5,10000,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2472.5
